,Nama,Harga Diskon,Harga Awal,Diskon,Terjual,Kota/Kab,Toko,Rating,Kategori
45,Photography Foto Studio Lightning Kit Youtube Vlog - D-HZ7,679700,2827500,76.0,0,Jakarta Barat,Toko D,,Lighting
46,Portrait Foto Studio Lighting Kit Youtube Vlog - LD-TZ07A,422700,1756500,75.9,0,Jakarta Barat,Toko D,,Lighting
47,Lighting Kit Foto Studio Day with Backdrop LDTZ30,4966100,5983200,17.0,0,Jakarta Barat,Toko E,,Lighting
48,EZMODE Studio Lighting Stand + 4 Socket Softbox 60x80cm with Grid,639000,700000,8.7,0,Jakarta Utara,Toko B,5.0,Lighting
49,VYATTA BULLET LIGHTNING iPhone IOS Cable - Kabel Data FAST CHARGE,42415,79000,46.3,0,Jakarta Timur,Toko A,4.9,Lighting
50,VYATTA AUTO Cable - Kabel Data Smart Disconnect Lightning,304300,358000,15.0,0,Jakarta Timur,Toko A,4.7,Lighting
51,EZMODE Studio Lighting Stand + 4 Socket Octagon Softbox 80cm with Grid,639000,700000,8.7,0,Jakarta Utara,Toko B,,Lighting
52,NICEFOTO Studio Kit Portable / Photo Box 40x40 with Lighting,475000,475000,0.0,0,Jakarta Utara,Toko B,,Lighting
53,NICEFOTO Heavy Duty Boom Arm LS-07 with Stand for Lighting Studio,749000,749000,0.0,0,Jakarta Utara,Toko B,,Lighting
54,Nanlite Mira 26B Dual Flex Arm Beauty Lighting - Lampu Make up,1750000,1750000,0.0,0,Jakarta Pusat,Toko M,,Lighting
55,Nanlite Forza 60B Bi-Color LED Monolight Lighting Kamera Video,3875000,3875000,0.0,0,Jakarta Pusat,Toko M,,Lighting
56,1 SET TRIPOD 2.8M + LAMPU PROFESSIONAL LIGHTING SOLUTION 400W SOFT BALL LIGHT FLASH LAMPU STUDIO,1250000,1250000,0.0,0,Jakarta Utara,Toko L,,Lighting
